sampleID	Subtype_mRNA	Subtype_DNAmeth	Subtype_protein	Subtype_miRNA	Subtype_CNA	Subtype_Integrative	Subtype_other	Subtype_Selected
TCGA-06-0394-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0397-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0402-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0409-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0410-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0412-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0413-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0414-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0644-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0645-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0646-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0648-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0649-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0650-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-0686-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0743-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0744-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0745-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0747-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0749-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0750-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-0875-01	LGr1	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-0876-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-0877-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-0878-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-0879-01	LGr4	LGm5	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-0881-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-0882-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-0939-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-1084-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-1086-01	LGr4	LGm6	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-1087-01	LGr1	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-1800-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-1801-01	LGr1	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-1802-01	LGr1	LGm4	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-1804-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-1805-01	LGr3	LGm1	K1	NA	NA	NA	G-CIMP-low	GBM_LGG.G-CIMP-low
TCGA-06-1806-01	NA	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-2557-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-2558-01	LGr1	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-2559-01	LGr1	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-2561-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-2562-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-2563-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-2564-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-2565-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-2566-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-2567-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-2569-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-2570-01	LGr1	LGm1	K1	NA	NA	NA	G-CIMP-low	GBM_LGG.G-CIMP-low
TCGA-06-5408-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-5410-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-5411-01	LGr2	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-5412-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-5413-01	LGr4	LGm5	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-5414-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-5415-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-5416-01	LGr1	LGm6	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-5417-01	LGr3	LGm1	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-06-5418-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-5856-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-5858-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-5859-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-6388-01	NA	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-6389-01	LGr3	LGm1	K1	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-06-6390-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-6391-01	LGr2	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-6693-01	NA	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-6694-01	NA	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-6695-01	NA	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-6697-01	NA	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-6698-01	NA	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-6699-01	NA	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-6700-01	NA	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-6701-01	NA	LGm2	K1	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-06-A5U0-01	NA	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-06-A5U1-01	NA	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-A6S0-01	NA	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-A6S1-01	NA	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-06-A7TK-01	NA	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-06-A7TL-01	NA	LGm1	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-08-0244-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0245-01	LGr1	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0246-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0344-01	LGr3	NA	K2	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0345-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0346-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0347-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0348-01	LGr1	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0349-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0350-01	LGr3	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0351-01	LGr3	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0352-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0353-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0354-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0355-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0356-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0357-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0358-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0359-01	LGr1	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0360-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0373-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0375-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0380-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0385-01	LGr1	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0386-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0389-01	LGr1	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0390-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0392-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0509-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0510-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0511-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0512-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0514-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0516-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0517-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0518-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0520-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0521-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0522-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0524-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0525-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0529-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-08-0531-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0615-01	NA	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0616-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0618-01	LGr1	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0619-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0620-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0653-01	NA	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0654-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0656-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0657-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0662-01	NA	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0670-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-0688-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0691-01	NA	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0692-01	LGr4	NA	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0703-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0707-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0769-01	NA	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0772-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0773-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0775-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0776-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0778-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0780-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-0818-01	LGr3	LGm2	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-12-0819-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-0820-01	LGr1	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-0821-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-12-0822-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-12-0826-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-12-0827-01	LGr4	LGm1	NA	NA	NA	NA	G-CIMP-low	GBM_LGG.G-CIMP-low
TCGA-12-0828-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-0829-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-1088-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-12-1089-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-1090-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1091-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1092-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-1093-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-1094-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1095-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1096-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1097-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1098-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1099-01	LGr1	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-12-1597-01	LGr1	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-1598-01	LGr1	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-1599-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-1600-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-1601-01	NA	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-1602-01	LGr1	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-3644-01	LGr1	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-3646-01	LGr1	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-3648-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-3649-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-3650-01	LGr1	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-3651-01	LGr1	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-3652-01	LGr4	LGm5	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-3653-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-5295-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-12-5299-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-12-5301-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-0736-01	LGr4	LGm6	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-0740-01	NA	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-14-0781-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-0783-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-0786-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0787-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0789-01	LGr4	LGm5	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0790-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0812-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0813-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-0817-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0862-01	NA	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-0865-01	LGr1	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-0866-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-0867-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-0871-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-14-1034-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-1037-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1043-01	NA	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1395-01	NA	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1396-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-1401-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-1402-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-1450-01	NA	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-1451-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1452-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-1453-01	LGr4	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-1454-01	LGr1	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-1455-01	LGr1	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-14-1456-01	LGr3	LGm2	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-14-1458-01	LGr2	LGm2	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-14-1459-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-1794-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1795-01	LGr1	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-1821-01	LGr3	LGm1	NA	NA	NA	NA	G-CIMP-low	GBM_LGG.G-CIMP-low
TCGA-14-1823-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-14-1825-01	LGr1	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1827-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-1829-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-2554-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-2555-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-14-3476-01	LGr1	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-14-3477-01	LGr1	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-14-4157-01	LGr3	LGm2	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-15-0742-01	LGr4	NA	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-15-1444-01	LGr3	LGm2	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-15-1446-01	LGr4	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-15-1447-01	LGr1	LGm6	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-15-1449-01	LGr1	LGm5	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-0846-01	LGr4	LGm5	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-16-0848-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-0849-01	LGr3	LGm2	NA	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-16-0850-01	LGr3	LGm1	NA	NA	NA	NA	G-CIMP-low	GBM_LGG.G-CIMP-low
TCGA-16-0861-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-16-1045-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-16-1047-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-1048-01	LGr4	LGm5	NA	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-16-1055-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-1056-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-1060-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-1062-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-1063-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-16-1460-01	LGr3	LGm2	K1	NA	NA	NA	G-CIMP-high	GBM_LGG.G-CIMP-high
TCGA-19-0955-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-19-0957-01	LGr1	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-19-0960-01	LGr1	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-19-0962-01	LGr4	LGm5	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-19-0963-01	LGr4	LGm5	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-19-0964-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
TCGA-19-1385-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-19-1386-01	LGr4	LGm5	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-19-1387-01	LGr1	LGm4	NA	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-19-1388-01	LGr4	LGm6	NA	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-19-1389-01	LGr4	LGm6	K1	NA	NA	NA	LGm6-GBM	GBM_LGG.LGm6-GBM
TCGA-19-1390-01	LGr1	LGm4	K1	NA	NA	NA	Classic-like	GBM_LGG.Classic-like
TCGA-19-1392-01	LGr1	LGm4	K1	NA	NA	NA	NA	GBM_LGG.NA
TCGA-19-1786-01	LGr4	LGm5	K1	NA	NA	NA	Mesenchymal-like	GBM_LGG.Mesenchymal-like
TCGA-19-1787-01	LGr4	LGm4	NA	NA	NA	NA	NA	GBM_LGG.NA
